cyclicLR,adam,stepLR
1100.567,976.988,1056.150
846.001,695.526,854.069
589.497,573.145,668.733
509.158,498.093,566.343
476.670,447.464,506.217
469.216,417.364,460.338
394.525,389.736,427.122
370.315,367.717,402.109
353.590,354.213,380.341
368.740,333.090,355.151
312.262,319.596,331.994
298.415,305.804,321.768
293.755,295.019,317.624
278.772,283.937,313.928
248.395,271.953,310.799
247.070,259.703,306.601
251.077,248.734,303.997
226.781,242.868,301.221
206.492,234.861,298.948
215.769,223.433,296.595
241.660,214.741,293.162
194.583,208.484,292.834
180.759,202.895,291.875
195.809,200.103,292.676
187.380,192.649,291.750
156.983,181.995,291.152
152.475,173.771,291.535
161.556,167.702,291.536
141.340,162.309,290.511
125.008,155.887,290.667
125.380,150.377,289.595
133.475,145.643,290.458
110.546,141.270,290.088
103.261,139.410,289.959
165.215,136.360,289.837
202.777,133.203,290.150
140.011,131.010,291.158
122.089,126.628,289.207
110.597,121.916,289.603
91.710,117.087,289.425
81.219,115.568,289.263
77.436,112.753,288.994
72.889,112.123,289.175
63.361,108.100,290.022
60.231,104.586,289.454
58.876,102.342,289.368
54.832,96.646,290.024
49.167,92.349,289.388
48.605,87.368,288.881
52.779,84.019,291.282
