cyclicLR,adam,stepLR
10.125%,17.755%,11.818%
23.902%,34.225%,23.249%
41.466%,42.763%,34.164%
49.181%,49.211%,42.783%
51.512%,54.261%,47.706%
51.954%,56.801%,52.206%
59.222%,59.681%,55.729%
61.798%,61.828%,58.079%
63.099%,63.011%,60.056%
61.264%,65.022%,62.376%
67.164%,66.476%,64.818%
68.749%,67.869%,66.034%
68.992%,68.974%,66.487%
70.195%,70.183%,66.881%
73.676%,71.277%,67.277%
73.766%,72.417%,67.538%
72.941%,73.686%,67.788%
75.639%,74.372%,68.107%
77.912%,75.187%,68.345%
76.805%,76.254%,68.592%
73.894%,77.124%,69.007%
79.164%,77.846%,69.082%
80.574%,78.367%,69.125%
78.750%,78.602%,69.156%
79.498%,79.556%,69.212%
83.294%,80.671%,69.236%
83.679%,81.678%,69.249%
82.021%,82.272%,69.281%
84.700%,82.715%,69.315%
86.678%,83.548%,69.350%
86.423%,84.058%,69.392%
85.246%,84.503%,69.388%
88.008%,85.003%,69.390%
88.963%,85.131%,69.398%
83.536%,85.432%,69.403%
78.011%,85.836%,69.404%
84.594%,86.066%,69.403%
86.543%,86.446%,69.411%
87.789%,86.984%,69.417%
90.033%,87.556%,69.419%
91.330%,87.621%,69.423%
91.727%,87.922%,69.424%
92.104%,87.923%,69.424%
93.306%,88.457%,69.425%
93.625%,88.702%,69.425%
93.687%,88.964%,69.425%
94.126%,89.710%,69.426%
94.943%,90.169%,69.427%
94.937%,90.634%,69.426%
94.205%,91.083%,69.427%
